epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.971,0.58438,0.29593,0.8135,0.98138,1,0.995,0.92875,0.39457,0.17933,0.75731,0.01,0.01,0.01
2,1038.74,0.67121,0.3463,0.82779,0.9811,1,0.995,0.92875,0.37239,0.16487,0.74978,0.00999766,0.00999766,0.00999766
3,1543.68,0.66996,0.3449,0.82721,1,1,0.995,0.933,0.46258,0.26331,0.75596,0.00999063,0.00999063,0.00999063
4,2053.65,0.67114,0.34518,0.8298,0.98111,1,0.995,0.92875,0.4758,0.22634,0.76772,0.00997892,0.00997892,0.00997892
5,2559.52,0.66945,0.34459,0.82727,1,1,0.995,0.933,0.31119,0.19293,0.7364,0.00996254,0.00996254,0.00996254
6,3076.07,0.66573,0.34334,0.82742,0.98146,1,0.995,0.995,0.29823,0.18895,0.73738,0.00994152,0.00994152,0.00994152
7,3582.04,0.65558,0.3385,0.82609,1,1,0.995,0.95775,0.43877,0.19895,0.75604,0.00991586,0.00991586,0.00991586
8,4104.26,0.65681,0.33805,0.82407,0.97993,1,0.995,0.92875,0.34439,0.18042,0.74781,0.0098856,0.0098856,0.0098856
9,4614.95,0.64912,0.33251,0.82262,0.9816,1,0.995,0.92389,0.35577,0.17666,0.74456,0.00985077,0.00985077,0.00985077
10,5131.23,0.64445,0.32878,0.82339,0.98102,1,0.995,0.995,0.24359,0.1517,0.73135,0.0098114,0.0098114,0.0098114
11,5641.16,0.63953,0.32949,0.82244,1,1,0.995,0.8955,0.40882,0.18865,0.75196,0.00976752,0.00976752,0.00976752
12,6161.02,0.64068,0.3281,0.82366,0.98148,1,0.995,0.92875,0.3514,0.14897,0.74551,0.00971918,0.00971918,0.00971918
13,6671.96,0.63819,0.32624,0.82172,1,1,0.995,0.933,0.41063,0.18155,0.75624,0.00966644,0.00966644,0.00966644
14,7173.81,0.63023,0.32438,0.82076,0.98142,1,0.995,0.92875,0.39315,0.17914,0.76095,0.00960933,0.00960933,0.00960933
15,7680.73,0.6278,0.32365,0.81885,0.98141,1,0.995,0.9535,0.32026,0.16208,0.74479,0.00954793,0.00954793,0.00954793
16,8179.83,0.62443,0.32037,0.81937,1,1,0.995,0.933,0.38783,0.19054,0.7615,0.00948228,0.00948228,0.00948228
17,8680.41,0.62121,0.31742,0.81882,1,1,0.995,0.933,0.31511,0.1892,0.7341,0.00941246,0.00941246,0.00941246
18,9184.67,0.61626,0.31558,0.81745,1,1,0.995,0.995,0.23455,0.12563,0.72955,0.00933852,0.00933852,0.00933852
19,9684.67,0.61304,0.31341,0.81697,1,1,0.995,0.995,0.28924,0.15697,0.73846,0.00926056,0.00926056,0.00926056
20,10186.9,0.61166,0.31366,0.81728,0.9814,1,0.995,0.995,0.22585,0.12085,0.7273,0.00917863,0.00917863,0.00917863
21,10690.6,0.60767,0.31126,0.81499,1,1,0.995,0.933,0.28151,0.14377,0.73331,0.00909283,0.00909283,0.00909283
22,11188.4,0.60386,0.30791,0.81609,1,1,0.995,0.995,0.21865,0.11725,0.73056,0.00900324,0.00900324,0.00900324
23,11689.7,0.60111,0.30697,0.81531,1,1,0.995,0.933,0.31556,0.13715,0.73478,0.00890994,0.00890994,0.00890994
24,12184.7,0.59818,0.3062,0.81531,1,1,0.995,0.995,0.26506,0.14182,0.72607,0.00881303,0.00881303,0.00881303
25,12680.3,0.59593,0.30425,0.81363,1,1,0.995,0.995,0.22886,0.12514,0.72614,0.0087126,0.0087126,0.0087126
26,13176.2,0.59228,0.30333,0.81186,1,1,0.995,0.995,0.22254,0.12982,0.73323,0.00860876,0.00860876,0.00860876
27,13669.8,0.59099,0.30199,0.81158,1,1,0.995,0.995,0.21773,0.14627,0.72739,0.0085016,0.0085016,0.0085016
28,14167.4,0.58796,0.29992,0.81094,1,1,0.995,0.995,0.23628,0.1319,0.72678,0.00839123,0.00839123,0.00839123
29,14659.6,0.58276,0.29759,0.81114,1,1,0.995,0.933,0.27458,0.14304,0.73063,0.00827776,0.00827776,0.00827776
30,15156.9,0.58268,0.29815,0.81019,1,1,0.995,0.995,0.23218,0.12635,0.72674,0.00816131,0.00816131,0.00816131
31,15660.8,0.58497,0.29737,0.81036,1,1,0.995,0.995,0.21951,0.11656,0.72298,0.00804198,0.00804198,0.00804198
32,16162.3,0.57885,0.29552,0.80923,1,1,0.995,0.995,0.24499,0.12915,0.72474,0.0079199,0.0079199,0.0079199
33,16666.2,0.57248,0.2941,0.80916,1,1,0.995,0.995,0.2267,0.12243,0.72599,0.00779518,0.00779518,0.00779518
34,17168,0.56894,0.29045,0.80842,1,1,0.995,0.995,0.23618,0.112,0.726,0.00766795,0.00766795,0.00766795
35,17669,0.57315,0.28973,0.80914,1,1,0.995,0.995,0.22286,0.12293,0.72091,0.00753833,0.00753833,0.00753833
36,18174.9,0.56861,0.28855,0.81012,1,1,0.995,0.995,0.20414,0.11237,0.71886,0.00740645,0.00740645,0.00740645
37,18677.8,0.56769,0.28921,0.80963,1,1,0.995,0.995,0.19584,0.10149,0.71808,0.00727245,0.00727245,0.00727245
38,19179.5,0.56385,0.28687,0.80875,1,1,0.995,0.995,0.22231,0.12114,0.7228,0.00713645,0.00713645,0.00713645
39,19683.4,0.56352,0.28533,0.80743,1,1,0.995,0.995,0.24514,0.11426,0.7278,0.00699859,0.00699859,0.00699859
40,20190.2,0.56024,0.28453,0.8077,1,1,0.995,0.995,0.22769,0.11197,0.72457,0.00685901,0.00685901,0.00685901
41,20701.5,0.556,0.28123,0.80603,1,1,0.995,0.995,0.22767,0.10628,0.72384,0.00671783,0.00671783,0.00671783
42,21217.7,0.55653,0.27992,0.80693,1,1,0.995,0.995,0.22475,0.11114,0.72228,0.00657521,0.00657521,0.00657521
43,21727.5,0.55325,0.27993,0.80495,1,1,0.995,0.995,0.2268,0.11318,0.72257,0.00643128,0.00643128,0.00643128
44,22244.4,0.55416,0.27814,0.80654,1,1,0.995,0.995,0.22287,0.11129,0.72184,0.00628618,0.00628618,0.00628618
45,22756.7,0.55032,0.2779,0.8062,1,1,0.995,0.995,0.21598,0.10274,0.72049,0.00614006,0.00614006,0.00614006
46,23271.1,0.54357,0.27416,0.80364,1,1,0.995,0.995,0.214,0.10627,0.71951,0.00599306,0.00599306,0.00599306
47,23782.4,0.54057,0.27192,0.80463,1,1,0.995,0.995,0.21404,0.10003,0.71966,0.00584533,0.00584533,0.00584533
48,24295.7,0.53853,0.27179,0.80365,1,1,0.995,0.995,0.20966,0.10086,0.71942,0.00569701,0.00569701,0.00569701
49,24807.5,0.53848,0.27094,0.80365,1,1,0.995,0.995,0.20819,0.09941,0.71925,0.00554825,0.00554825,0.00554825
50,25323.4,0.53404,0.26773,0.80165,1,1,0.995,0.995,0.20525,0.10135,0.71974,0.0053992,0.0053992,0.0053992
51,25847.2,0.53017,0.26568,0.80078,1,1,0.995,0.995,0.20655,0.10296,0.71995,0.00525,0.00525,0.00525
52,26380.2,0.53342,0.26913,0.80337,1,1,0.995,0.995,0.20669,0.11016,0.72033,0.0051008,0.0051008,0.0051008
