epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,567.755,1.06851,0.79732,0.92535,0.9311,1,0.995,0.995,0.42823,0.36054,0.82531,0.00333068,0.00333068,0.00333068
2,1089.33,1.12705,0.60236,0.93432,0.96135,1,0.995,0.995,0.4639,0.48555,0.85808,0.00659804,0.00659804,0.00659804
3,1599.7,1.17043,0.63893,0.9464,0.96799,1,0.995,0.8955,0.47852,0.40174,0.83391,0.0097994,0.0097994,0.0097994
4,2106.16,1.12079,0.61239,0.93742,0.96829,1,0.995,0.995,0.3521,0.2874,0.82111,0.009703,0.009703,0.009703
5,2614.5,1.04276,0.55428,0.91907,0.9698,1,0.995,0.995,0.47408,0.271,0.82682,0.009604,0.009604,0.009604
6,3118,1.00251,0.5267,0.91002,1,1,0.995,0.995,0.51288,0.28439,0.83781,0.009505,0.009505,0.009505
7,3620.61,0.95103,0.49605,0.90146,0.97092,1,0.995,0.8955,0.60303,0.31849,0.83635,0.009406,0.009406,0.009406
8,4122.3,0.93829,0.48667,0.89462,1,1,0.995,0.995,0.27661,0.2212,0.80124,0.009307,0.009307,0.009307
9,4616.49,0.91552,0.47096,0.89061,0.97135,1,0.995,0.8955,0.42967,0.24782,0.80831,0.009208,0.009208,0.009208
10,5113.14,0.88779,0.45907,0.88377,1,1,0.995,0.995,0.36033,0.29729,0.80347,0.009109,0.009109,0.009109
11,5613.91,0.87241,0.44976,0.88023,0.97145,1,0.995,0.8955,0.29482,0.27424,0.79368,0.00901,0.00901,0.00901
12,6116.27,0.86307,0.44422,0.87995,1,1,0.995,0.8955,0.52438,0.23391,0.81182,0.008911,0.008911,0.008911
13,6616.58,0.85742,0.43998,0.87569,1,1,0.995,0.995,0.39186,0.19005,0.79532,0.008812,0.008812,0.008812
14,7121.19,0.84319,0.43337,0.87345,0.97087,1,0.995,0.796,0.69193,0.31618,0.84933,0.008713,0.008713,0.008713
15,7626.28,0.83489,0.42788,0.87095,1,1,0.995,0.995,0.29774,0.16086,0.78934,0.008614,0.008614,0.008614
16,8128.2,0.82051,0.42016,0.8673,1,1,0.995,0.8955,0.48301,0.21959,0.81176,0.008515,0.008515,0.008515
17,8629.79,0.8139,0.41467,0.86666,1,1,0.995,0.8955,0.45888,0.19757,0.80134,0.008416,0.008416,0.008416
18,9136.87,0.80827,0.41135,0.86498,1,1,0.995,0.995,0.34308,0.21914,0.79612,0.008317,0.008317,0.008317
19,9638.98,0.79772,0.4083,0.86218,1,1,0.995,0.8955,0.43116,0.19234,0.79917,0.008218,0.008218,0.008218
20,10139,0.79054,0.40422,0.86072,1,1,0.995,0.8955,0.46749,0.19959,0.80034,0.008119,0.008119,0.008119
21,10642.7,0.78167,0.40156,0.85568,1,1,0.995,0.8955,0.49506,0.21573,0.80767,0.00802,0.00802,0.00802
22,11144.5,0.77114,0.39498,0.85585,1,1,0.995,0.995,0.33375,0.21706,0.78697,0.007921,0.007921,0.007921
23,11644.4,0.76653,0.39165,0.8545,1,1,0.995,0.995,0.3851,0.18444,0.79228,0.007822,0.007822,0.007822
